date,psavert,dspic96,cpi_yoy,totalsl_yoy,cfpb_bnpl_complaints,cfpb_narrative_count
2021-01-31,19.5,18194.0,0.013738437137002402,-0.003367142401803913,152,107
2021-02-28,13.0,16697.3,0.016698167791706853,-0.001968957378421954,184,137
2021-03-31,26.2,20520.0,0.026678187820641908,0.004522839741720963,221,147
2021-04-30,12.4,17420.7,0.04133077115360573,0.024451958014404918,218,137
2021-05-31,10.0,16922.4,0.04918257089467626,0.036266587335169076,235,146
2021-06-30,8.8,16838.1,0.05295632620349999,0.06999031709979842,243,142
2021-07-31,9.5,16949.3,0.05245169381309234,0.06994729714016401,253,144
2021-08-31,8.7,16917.1,0.05152015301793966,0.0754080769847858,219,141
2021-09-30,7.6,16728.5,0.05351215590949132,0.07711641650450463,258,178
2021-10-31,7.0,16733.5,0.06235042390298062,0.07987722703348754,277,195
2021-11-30,6.6,16686.4,0.06901970403700863,0.08571100130303821,244,154
2021-12-31,6.6,16610.8,0.07174340285065539,0.08765765457346508,283,178
2022-01-31,4.2,16206.1,0.07558805726967832,0.08884340597505891,313,186
2022-02-28,4.1,16207.6,0.07937278766517819,0.09132252195132717,305,199
2022-03-31,3.2,16127.2,0.08572204966013852,0.09792264219212798,358,226
2022-04-30,2.6,16125.5,0.08231750770777224,0.10114488107658404,348,127
2022-05-31,2.6,16103.0,0.08538171195642064,0.09994211877109249,237,0
2022-06-30,2.2,16062.9,0.08979361103105798,0.07067037031326961,235,0
2022-07-31,3.3,16270.4,0.08462576727730098,0.07183094588275751,262,0
2022-08-31,3.2,16367.3,0.08222579178218825,0.07431308192620856,402,183
2022-09-30,3.4,16423.8,0.08192106896425821,0.074558213164299,472,338
2022-10-31,3.4,16476.3,0.07758813957693,0.07783213569020075,447,300
2022-11-30,3.8,16502.7,0.07122856456533988,0.07858567195738342,419,276
2022-12-31,4.2,16578.2,0.06404600402357152,0.07660970735831585,417,295
2023-01-31,4.9,16906.9,0.06327178517960097,0.07657067241826732,502,354
2023-02-28,5.5,16998.2,0.05957820738137087,0.0717902600657101,494,359
2023-03-31,6.0,17098.8,0.04917719362889961,0.06752749325246077,529,379
2023-04-30,5.8,17135.3,0.049500798791243694,0.06240011747603047,468,302
2023-05-31,6.1,17196.7,0.04131851231385042,0.05679656605895955,578,427
2023-06-30,5.8,17216.3,0.03070617072997095,0.053254240990659785,685,518
2023-07-31,5.5,17250.6,0.03287749268428297,0.050272843379979504,529,373
2023-08-31,5.6,17275.3,0.03722504803505289,0.040956477078972764,770,599
2023-09-30,5.3,17282.2,0.03687206638119256,0.037065698056928165,716,525
2023-10-31,5.4,17341.3,0.032512659098611785,0.03253961692650642,635,467
2023-11-30,5.6,17427.1,0.031333462745911866,0.030998477405901115,709,564
2023-12-31,5.6,17481.7,0.033159099427102934,0.02671380471907181,1280,1096
2024-01-31,6.4,17575.4,0.030883429864855705,0.026448892674455937,1396,1141
2024-02-29,6.1,17596.2,0.03157074141648697,0.026554432836860542,1127,915
2024-03-31,5.9,17617.0,0.034868349120836584,0.021538012463285794,1898,1607
2024-04-30,5.8,17638.6,0.033607951262196734,0.019520190200727372,1864,1606
2024-05-31,5.8,17713.3,0.03244278584003113,0.02012762045268901,1396,1151
2024-06-30,5.7,17751.1,0.029702579486470926,0.01563378758261802,967,767
2024-07-31,5.3,17743.2,0.029414757935583014,0.017417698861632802,954,702
2024-08-31,5.2,17752.9,0.02607144490692037,0.022038133014699923,1063,748
2024-09-30,4.8,17769.9,0.024264830315416708,0.020685298619621317,1011,664
2024-10-31,5.0,17810.5,0.02578844053871343,0.020630649914230803,1315,890
2024-11-30,4.9,17851.4,0.02719472461284833,0.014518118651867695,1024,676
2024-12-31,4.3,17867.9,0.028706909675099812,-0.00821863527522071,1161,807
2025-01-31,5.1,17889.8,0.029909783078999608,-0.0093665964482329,1439,988
2025-02-28,5.2,17910.5,0.028015834477613355,-0.011498059177579845,1134,817
2025-03-31,5.1,18029.1,0.02381981462805549,0.001388759565931652,1436,1052
2025-04-30,5.5,18132.9,0.0232538823025783,0.004395428743739993,1987,1597
2025-05-31,4.9,17980.9,0.023772651073680873,0.004664753535907451,2354,1980
2025-06-30,4.6,17962.1,0.02680453865910226,0.0034157926551297013,2642,2226
2025-07-31,4.5,18040.9,0.02742618052167134,0.001929629088082807,2612,2142
2025-08-31,4.4,18076.9,0.029385917430316155,0.0005582515535789145,2507,2063
2025-09-30,4.3,18094.6,0.030225715847133294,0.0026922204153598805,1969,1393
2025-10-31,3.9,18037.3,,0.0016121674920690499,1961,1316
2025-11-30,3.8,18035.1,0.026964439164939513,0.003432841486461724,2059,1397
2025-12-31,3.6,18018.5,0.02653304114557753,0.030641658701114016,2078,1115
2026-01-31,4.4,18134.6,0.02391201432150014,0.0297827935902768,1859,745
2026-02-28,3.8,18051.9,0.024340041103732224,0.030817601278984696,1388,313
2026-03-31,3.5,18030.5,0.032859577528651984,0.021817507356590715,1667,609
2026-04-30,2.9,17957.1,0.03779245836741563,0.022506851956660023,1744,678
2026-05-31,2.8,18000.1,0.04166614684049641,0.020859548853707333,1594,164
2026-06-30,2.6,18054.9,0.03463530729385411,0.024706462611355118,1596,18
2026-07-31,3.0,18122.5,0.03303856050706311,0.025769776251487908,1617,0
2026-08-31,,,0.03353016322755642,,1541,0
